Sat 14 16:27:37 TGM php: [NOTICE] E_NOTICE: Constant STATUS_UNRESOLVED_ERROR already defined in C:\OpenServer\domains\job\app\config\config.php on line 16
Sat 14 16:27:37 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
Sat 14 16:27:37 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 22
Sat 14 16:27:37 TGM php: [NOTICE] E_NOTICE: Constant ROLE_MODERATOR already defined in C:\OpenServer\domains\job\app\config\config.php on line 23
Sat 14 16:27:37 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 26
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant STATUS_UNRESOLVED_ERROR already defined in C:\OpenServer\domains\job\app\config\config.php on line 16
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 22
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant ROLE_MODERATOR already defined in C:\OpenServer\domains\job\app\config\config.php on line 23
Sun 15 11:16:02 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 26
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant STATUS_UNRESOLVED_ERROR already defined in C:\OpenServer\domains\job\app\config\config.php on line 16
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 22
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant ROLE_MODERATOR already defined in C:\OpenServer\domains\job\app\config\config.php on line 23
Sun 15 11:16:21 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 26
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant STATUS_UNRESOLVED_ERROR already defined in C:\OpenServer\domains\job\app\config\config.php on line 16
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 22
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant ROLE_MODERATOR already defined in C:\OpenServer\domains\job\app\config\config.php on line 23
Sun 15 15:50:13 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 26
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant STATUS_UNRESOLVED_ERROR already defined in C:\OpenServer\domains\job\app\config\config.php on line 16
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 22
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant ROLE_MODERATOR already defined in C:\OpenServer\domains\job\app\config\config.php on line 23
Tue 17 20:41:34 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 26
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant STATUS_UNRESOLVED_ERROR already defined in C:\OpenServer\domains\job\app\config\config.php on line 16
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 22
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant ROLE_MODERATOR already defined in C:\OpenServer\domains\job\app\config\config.php on line 23
Tue 17 20:42:05 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 26
Wed 18 10:10:18 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Wed 18 10:10:18 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Wed 18 10:10:18 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Wed 18 10:10:18 TGM php: [NOTICE] E_NOTICE: Constant STATUS_UNRESOLVED_ERROR already defined in C:\OpenServer\domains\job\app\config\config.php on line 16
Wed 18 10:10:18 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
